,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
489,46,Travel_Rarely,Research & Development,12,4,Technical Degree,Male,Laboratory Technician,Single,23320,1.0,11,8,0,27.0,2,26,0,12,0
490,32,Travel_Rarely,Research & Development,21,3,Other,Male,Sales Executive,Married,23620,1.0,11,8,0,9.0,2,9,7,8,0
491,34,Travel_Rarely,Research & Development,1,2,Medical,Female,Healthcare Representative,Married,176650,0.0,11,8,0,6.0,5,5,1,2,0
492,37,Travel_Rarely,Sales,9,1,Marketing,Male,Sales Executive,Single,44400,2.0,11,8,1,18.0,3,1,0,1,0
493,48,Travel_Frequently,Sales,10,4,Marketing,Female,Manager,Married,22700,2.0,14,8,3,23.0,2,2,2,2,0
494,39,Travel_Rarely,Research & Development,12,5,Medical,Female,Sales Representative,Single,62200,1.0,14,8,2,20.0,2,20,11,10,0
495,23,Travel_Rarely,Sales,2,3,Medical,Female,Manufacturing Director,Married,45590,1.0,18,8,1,1.0,2,0,0,0,1
496,29,Travel_Rarely,Research & Development,3,4,Other,Female,Sales Representative,Divorced,55930,1.0,13,8,1,1.0,3,1,0,0,0
497,31,Non-Travel,Research & Development,28,4,Medical,Male,Research Scientist,Single,25930,0.0,21,8,0,4.0,2,3,1,2,1
498,29,Travel_Frequently,Research & Development,29,1,Life Sciences,Male,Sales Representative,Married,192020,1.0,12,8,0,3.0,5,3,0,2,0
499,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,Sales Executive,Married,54290,1.0,17,8,1,16.0,3,16,6,8,0
500,42,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,Manufacturing Director,Married,89260,1.0,14,8,0,20.0,4,20,11,6,0
501,26,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,Laboratory Technician,Single,26130,6.0,19,8,1,6.0,2,4,1,2,1
502,40,Travel_Frequently,Research & Development,10,4,Medical,Male,Manufacturing Director,Married,65670,1.0,13,8,1,8.0,3,8,3,7,0
503,32,Travel_Frequently,Sales,10,3,Life Sciences,Female,Sales Executive,Married,102660,1.0,11,8,0,2.0,3,2,2,2,0
504,38,Travel_Rarely,Research & Development,23,3,Medical,Male,Sales Representative,Married,39040,1.0,22,8,0,10.0,3,10,1,9,0
505,48,Travel_Frequently,Research & Development,2,3,Life Sciences,Male,Research Director,Divorced,197400,3.0,14,8,0,24.0,2,22,4,7,0
506,36,Travel_Rarely,Human Resources,1,3,Human Resources,Male,Research Scientist,Single,23770,6.0,13,8,2,15.0,3,1,0,0,0
507,22,Travel_Frequently,Research & Development,7,3,Medical,Female,Laboratory Technician,Single,37850,5.0,13,8,2,4.0,2,2,1,2,1
508,37,Travel_Frequently,Research & Development,13,3,Life Sciences,Male,Laboratory Technician,Divorced,119040,1.0,12,8,1,6.0,4,6,1,3,0
509,33,Travel_Rarely,Research & Development,8,5,Medical,Male,Laboratory Technician,Married,82240,6.0,19,8,0,14.0,3,10,7,6,0
510,55,Travel_Rarely,Research & Development,1,3,Medical,Female,Sales Executive,Single,120310,3.0,11,8,0,37.0,5,10,7,7,0
511,38,Travel_Rarely,Human Resources,2,4,Medical,Male,Human Resources,Single,20140,3.0,17,8,1,8.0,5,0,0,0,0
512,35,Travel_Rarely,Sales,12,2,Life Sciences,Female,Sales Executive,Single,23180,3.0,19,8,0,10.0,4,5,0,4,0
513,35,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,Single,31020,1.0,13,8,1,6.0,3,5,1,4,0
514,41,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,Laboratory Technician,Single,54870,6.0,19,8,2,8.0,0,5,1,2,0
515,34,Travel_Frequently,Human Resources,4,4,Life Sciences,Female,Sales Executive,Single,55620,1.0,15,8,0,9.0,3,9,0,6,1
516,53,Travel_Rarely,Research & Development,24,3,Other,Female,Manager,Single,22690,7.0,11,8,1,18.0,2,14,8,10,0
517,45,Travel_Rarely,Research & Development,1,5,Technical Degree,Male,Healthcare Representative,Divorced,20880,4.0,15,8,3,18.0,2,5,0,2,0
518,48,Travel_Rarely,Research & Development,12,4,Medical,Male,Laboratory Technician,Divorced,55620,8.0,13,8,1,18.0,2,8,7,7,0
519,31,Travel_Rarely,Research & Development,9,1,Medical,Female,Sales Representative,Divorced,189470,2.0,12,8,2,9.0,2,3,1,2,1
520,23,Travel_Rarely,Sales,2,3,Medical,Male,Laboratory Technician,Married,18780,1.0,13,8,1,1.0,2,1,0,1,0
521,27,Non-Travel,Sales,11,3,Technical Degree,Female,Laboratory Technician,Married,99850,1.0,14,8,1,3.0,3,3,1,2,0
522,30,Travel_Rarely,Research & Development,1,3,Medical,Female,Sales Executive,Divorced,103060,5.0,13,8,0,8.0,5,3,2,2,0
523,47,Travel_Rarely,Research & Development,25,4,Medical,Male,Research Scientist,Married,148520,3.0,19,8,3,27.0,3,5,1,0,0
524,43,Travel_Rarely,Research & Development,25,4,Life Sciences,Male,Sales Executive,Married,22200,1.0,11,8,0,10.0,2,10,8,8,0
525,34,Non-Travel,Research & Development,7,2,Technical Degree,Female,Research Scientist,Single,86200,0.0,13,8,1,10.0,2,9,8,7,0
526,38,Travel_Rarely,Research & Development,1,3,Medical,Female,Manager,Single,96190,4.0,13,8,1,10.0,2,1,0,0,0
527,46,Travel_Rarely,Sales,1,2,Medical,Female,Research Scientist,Single,97140,1.0,22,8,0,9.0,0,9,4,7,1
528,45,Travel_Frequently,Research & Development,19,3,Medical,Male,Laboratory Technician,Single,36810,3.0,17,8,1,22.0,2,0,0,0,0
529,32,Travel_Rarely,Human Resources,22,3,Human Resources,Female,Research Director,Divorced,74460,0.0,19,8,0,7.0,3,6,0,5,0
530,30,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,Manager,Married,59680,,13,8,0,1.0,3,1,0,0,0
531,28,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,Manufacturing Director,Divorced,46010,0.0,15,8,2,6.0,2,5,0,0,0
532,44,Travel_Rarely,Human Resources,26,3,Life Sciences,Male,Healthcare Representative,Married,47590,2.0,21,8,0,9.0,2,4,1,3,0
533,27,Travel_Rarely,Research & Development,4,3,Technical Degree,Male,Manufacturing Director,Single,51710,0.0,20,8,1,9.0,1,8,0,7,0
534,38,Travel_Rarely,Sales,2,3,Marketing,Female,Manager,Divorced,44480,9.0,12,8,0,10.0,3,2,1,2,0
535,38,Non-Travel,Sales,4,3,Life Sciences,Male,Research Director,Single,100480,1.0,23,8,1,6.0,2,5,1,3,0
536,39,Travel_Rarely,Sales,25,3,Medical,Male,Sales Executive,Married,197010,0.0,11,8,0,21.0,3,20,9,6,0
537,53,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,Research Scientist,Married,21480,3.0,11,8,0,21.0,2,5,1,3,0
538,36,Travel_Frequently,Research & Development,16,1,Medical,Male,Sales Executive,Divorced,105960,7.0,15,8,0,18.0,3,4,0,2,0
539,40,Travel_Frequently,Sales,9,3,Medical,Male,Manufacturing Director,Married,45230,5.0,16,8,1,5.0,5,0,0,0,0
540,31,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,Married,65000,6.0,23,8,1,7.0,5,2,2,2,1
541,47,Travel_Rarely,Research & Development,3,2,Medical,Male,Laboratory Technician,Married,43640,3.0,11,8,1,26.0,3,20,5,6,0
542,34,Travel_Rarely,Sales,13,4,Medical,Male,Sales Representative,Single,74910,0.0,14,8,1,4.0,3,3,0,2,0
543,33,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,Sales Executive,Single,49360,0.0,14,8,0,6.0,2,5,0,3,1
544,25,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,Sales Executive,Married,22160,2.0,13,8,3,6.0,2,3,1,2,0
545,49,Non-Travel,Research & Development,23,1,Other,Female,Sales Executive,Divorced,92410,1.0,19,8,1,7.0,5,7,1,7,0
546,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,Research Scientist,Married,48210,6.0,14,8,2,6.0,2,3,1,2,1
547,36,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,Laboratory Technician,Married,33770,0.0,12,8,2,16.0,2,15,10,11,0
548,24,Travel_Rarely,Sales,7,4,Life Sciences,Female,Laboratory Technician,Single,25760,8.0,17,8,3,6.0,3,4,1,2,0
549,45,Non-Travel,Research & Development,2,3,Medical,Female,Research Scientist,Single,103680,6.0,12,8,2,23.0,2,19,12,8,0
550,27,Travel_Rarely,Sales,22,4,Medical,Male,Sales Representative,Divorced,22060,0.0,14,8,1,6.0,4,5,0,3,0
551,37,Travel_Rarely,Research & Development,7,2,Medical,Male,Manufacturing Director,Married,20110,5.0,13,8,0,16.0,4,5,0,4,0
552,44,Travel_Rarely,Research & Development,5,1,Other,Male,Research Scientist,Single,52280,1.0,13,8,0,6.0,2,5,1,3,0
553,34,Travel_Frequently,Sales,29,4,Marketing,Male,Research Scientist,Single,115100,0.0,14,8,1,7.0,5,6,0,4,0
554,40,Travel_Frequently,Sales,9,3,Marketing,Male,Manufacturing Director,Single,22380,,14,8,0,10.0,3,1,0,0,0
555,33,Travel_Rarely,Sales,23,4,Marketing,Female,Sales Executive,Divorced,39830,4.0,12,8,0,9.0,3,3,1,2,0
556,37,Travel_Frequently,Sales,2,3,Marketing,Male,Laboratory Technician,Divorced,40010,6.0,11,8,1,17.0,2,1,0,0,1
557,50,Travel_Frequently,Research & Development,19,4,Life Sciences,Male,Sales Executive,Single,53770,4.0,14,8,1,16.0,3,2,2,1,0
558,27,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,Married,34080,1.0,24,8,0,9.0,2,9,6,8,0
559,39,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,Sales Executive,Single,134020,7.0,14,8,1,18.0,1,7,1,7,0
560,34,Travel_Frequently,Research & Development,2,4,Medical,Female,Sales Representative,Divorced,68770,7.0,20,8,0,16.0,3,14,6,9,0
561,31,Non-Travel,Research & Development,14,2,Life Sciences,Male,Healthcare Representative,Married,23020,4.0,14,8,0,13.0,3,11,4,8,0
562,41,Travel_Frequently,Sales,1,4,Other,Female,Healthcare Representative,Divorced,55610,0.0,11,8,0,10.0,2,9,1,7,0
563,35,Travel_Frequently,Research & Development,15,3,Medical,Male,Manufacturing Director,Married,65490,1.0,20,8,0,9.0,3,9,1,8,0
564,29,Travel_Rarely,Research & Development,8,2,Medical,Male,Manager,Divorced,28530,4.0,14,8,1,4.0,5,2,2,0,1
565,41,Travel_Rarely,Research & Development,5,3,Medical,Male,Sales Representative,Divorced,121690,1.0,19,8,0,5.0,2,5,0,4,0
566,30,Travel_Rarely,Research & Development,11,4,Medical,Male,Laboratory Technician,Divorced,171690,1.0,17,8,2,1.0,2,1,0,0,0
567,32,Travel_Rarely,Research & Development,10,4,Other,Female,Sales Executive,Married,42330,1.0,11,8,0,10.0,5,10,0,8,0
568,26,Travel_Rarely,Research & Development,9,1,Medical,Male,Sales Executive,Married,106860,1.0,14,8,1,3.0,2,3,0,2,0
569,45,Travel_Frequently,Research & Development,19,3,Medical,Male,Laboratory Technician,Single,36810,3.0,17,8,1,22.0,2,0,0,0,0
570,46,Travel_Rarely,Sales,19,4,Marketing,Female,Sales Executive,Divorced,41080,2.0,14,8,0,19.0,5,10,0,8,0
571,31,Travel_Frequently,Sales,2,3,Medical,Male,Sales Executive,Single,25720,1.0,13,8,3,10.0,3,10,4,7,1
572,38,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,Manufacturing Director,Single,37220,5.0,14,8,0,6.0,0,3,1,2,0
573,52,Travel_Rarely,Research & Development,26,2,Life Sciences,Female,Sales Representative,Married,33750,2.0,21,8,0,28.0,2,5,0,4,0
574,37,Travel_Rarely,Research & Development,22,5,Medical,Female,Manufacturing Director,Married,30550,2.0,14,8,3,17.0,3,3,0,2,0
575,35,Travel_Rarely,Human Resources,14,1,Life Sciences,Male,Research Scientist,Married,79880,1.0,18,8,0,4.0,3,4,1,1,0
576,25,Travel_Rarely,Research & Development,6,2,Medical,Female,Laboratory Technician,Single,27680,0.0,22,8,1,5.0,0,4,1,1,0
577,49,Travel_Rarely,Research & Development,2,4,Medical,Male,Laboratory Technician,Divorced,42270,4.0,18,8,0,17.0,3,2,2,2,0
578,36,Travel_Rarely,Research & Development,25,1,Life Sciences,Female,Sales Executive,Married,170070,9.0,12,8,1,6.0,2,1,0,0,0
579,30,Travel_Rarely,Research & Development,8,3,Medical,Female,Sales Executive,Married,183000,0.0,14,8,0,7.0,6,6,0,2,0
580,46,Travel_Rarely,Research & Development,4,4,Medical,Female,Sales Representative,Married,27430,5.0,25,8,1,14.0,1,8,0,7,1
581,50,Travel_Frequently,Research & Development,1,4,Medical,Male,Research Scientist,Single,159920,3.0,14,8,0,5.0,3,0,0,0,1
582,40,Travel_Rarely,Sales,6,3,Life Sciences,Male,Manufacturing Director,Single,104820,1.0,11,8,1,21.0,6,21,12,8,0
583,36,Travel_Rarely,Research & Development,8,3,Life Sciences,Male,Research Scientist,Divorced,59150,2.0,13,8,1,13.0,3,3,0,2,0
584,50,Travel_Rarely,Sales,8,4,Life Sciences,Male,Research Scientist,Divorced,96670,3.0,23,8,0,28.0,2,10,1,6,0
585,34,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Laboratory Technician,Married,53430,1.0,14,8,0,10.0,5,10,4,8,0
586,27,Travel_Rarely,Sales,3,2,Technical Degree,Male,Healthcare Representative,Married,135770,1.0,12,8,1,6.0,2,5,1,2,0
587,37,Travel_Frequently,Sales,2,3,Marketing,Male,Laboratory Technician,Divorced,40010,6.0,11,8,1,17.0,2,1,0,0,1
588,30,Travel_Rarely,Human Resources,20,4,Life Sciences,Male,Research Scientist,Married,46610,1.0,11,8,0,12.0,3,12,1,7,0
589,39,Travel_Frequently,Sales,1,3,Marketing,Male,Healthcare Representative,Divorced,67550,7.0,14,8,1,21.0,2,18,11,5,1
590,49,Travel_Frequently,Research & Development,1,1,Medical,Female,Research Scientist,Single,35910,9.0,13,8,0,22.0,2,3,1,2,0
591,32,Travel_Frequently,Research & Development,12,5,Medical,Male,Research Scientist,Married,95470,1.0,13,8,1,10.0,3,10,5,3,0
592,35,Travel_Rarely,Research & Development,2,3,Medical,Female,Sales Executive,Married,21570,1.0,25,8,0,16.0,1,16,1,10,0
593,45,Travel_Frequently,Research & Development,19,4,Life Sciences,Male,Research Director,Married,34410,2.0,13,8,1,5.0,5,1,0,0,1
594,32,Non-Travel,Sales,18,3,Marketing,Male,Laboratory Technician,Married,23890,6.0,12,8,1,5.0,4,3,0,2,0
595,42,Non-Travel,Research & Development,10,4,Life Sciences,Female,Research Scientist,Single,61510,1.0,13,8,1,20.0,3,20,3,7,0
596,43,Travel_Rarely,Research & Development,25,4,Life Sciences,Male,Sales Executive,Married,22200,1.0,11,8,0,10.0,2,10,8,8,0
597,52,Travel_Rarely,Sales,21,5,Technical Degree,Male,Manager,Married,28890,1.0,11,8,1,34.0,2,34,1,16,0
598,34,Travel_Rarely,Sales,9,4,Medical,Female,Laboratory Technician,Married,27410,0.0,15,8,1,2.0,3,1,0,0,0
599,54,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Sales Executive,Married,20930,3.0,19,8,0,36.0,2,10,0,9,0
600,36,Travel_Frequently,Research & Development,8,3,Other,Female,Sales Executive,Married,69620,4.0,12,8,2,4.0,2,1,0,0,0
601,30,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,Research Director,Married,41970,1.0,13,8,0,11.0,3,10,1,9,0
602,41,Travel_Rarely,Sales,2,2,Medical,Male,Healthcare Representative,Married,23870,3.0,17,8,1,12.0,1,5,1,0,0
603,32,Travel_Frequently,Research & Development,10,3,Medical,Female,Manufacturing Director,Single,165980,1.0,13,8,0,10.0,2,10,6,7,1
604,36,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Research Director,Single,54860,7.0,12,8,1,10.0,2,5,0,3,1
605,31,Travel_Rarely,Research & Development,15,1,Medical,Female,Sales Executive,Married,40660,3.0,22,8,0,4.0,2,2,2,2,1
606,45,Travel_Rarely,Sales,29,2,Technical Degree,Female,Research Scientist,Single,29730,1.0,12,8,0,10.0,2,10,1,4,0
607,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,Healthcare Representative,Married,59060,4.0,23,8,0,21.0,4,3,1,1,0
608,49,Travel_Frequently,Sales,1,4,Life Sciences,Female,Manufacturing Director,Married,58100,1.0,21,8,1,10.0,2,10,1,7,0
609,55,Travel_Rarely,Research & Development,23,1,Life Sciences,Male,Laboratory Technician,Divorced,23420,5.0,11,8,2,8.0,2,4,1,2,0
610,18,Non-Travel,Research & Development,2,3,Life Sciences,Male,Sales Representative,Single,186060,1.0,24,8,2,0.0,4,0,0,0,0
611,52,Travel_Rarely,Research & Development,29,3,Life Sciences,Male,Manufacturing Director,Married,29420,8.0,11,8,1,9.0,1,5,1,4,0
612,43,Travel_Rarely,Research & Development,7,2,Medical,Female,Laboratory Technician,Single,195020,3.0,18,8,2,23.0,3,21,15,17,0
613,49,Non-Travel,Research & Development,23,1,Other,Female,Sales Executive,Divorced,92410,1.0,19,8,1,7.0,5,7,1,7,0
614,47,Non-Travel,Research & Development,21,2,Medical,Male,Sales Executive,Married,46390,0.0,11,8,1,14.0,2,13,5,12,0
615,39,Travel_Frequently,Research & Development,19,4,Medical,Female,Research Scientist,Married,20620,1.0,13,8,0,21.0,4,21,13,3,0
616,58,Travel_Rarely,Research & Development,27,3,Other,Male,Laboratory Technician,Divorced,21870,1.0,18,8,1,2.0,1,2,2,2,0
617,47,Travel_Frequently,Research & Development,1,3,Medical,Female,Sales Executive,Married,196270,7.0,11,8,2,25.0,1,23,14,10,1
618,30,Travel_Rarely,Research & Development,8,3,Life Sciences,Male,Sales Executive,Divorced,52090,7.0,14,8,1,10.0,3,8,7,7,0
619,44,Travel_Frequently,Research & Development,1,2,Medical,Male,Research Scientist,Divorced,103330,3.0,14,8,1,19.0,2,1,0,0,1
620,36,Non-Travel,Research & Development,1,3,Medical,Male,Sales Representative,Single,34520,2.0,13,8,3,18.0,4,11,0,9,0
621,35,Travel_Rarely,Human Resources,1,3,Human Resources,Male,Laboratory Technician,Married,136750,1.0,15,8,3,5.0,5,5,1,0,0
622,39,Travel_Rarely,Sales,10,3,Marketing,Female,Research Director,Married,26840,4.0,12,8,0,7.0,2,5,1,0,0
623,31,Travel_Rarely,Sales,25,2,Life Sciences,Female,Manufacturing Director,Divorced,182130,8.0,21,8,2,4.0,3,2,2,2,0
624,55,Travel_Rarely,Research & Development,1,4,Other,Female,Research Scientist,Married,67990,3.0,11,8,0,12.0,2,10,0,8,0
625,53,Travel_Rarely,Research & Development,1,1,Medical,Male,Sales Executive,Single,44250,6.0,22,8,1,33.0,2,12,3,8,0
626,21,Non-Travel,Research & Development,1,5,Life Sciences,Female,Manager,Single,28630,1.0,14,8,0,3.0,2,3,2,2,0
627,42,Travel_Rarely,Research & Development,23,4,Other,Male,Research Scientist,Married,23730,6.0,14,8,1,21.0,3,1,0,0,0
628,41,Travel_Frequently,Sales,11,3,Other,Male,Laboratory Technician,Divorced,168720,2.0,15,8,1,21.0,2,18,0,11,0
629,57,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,Research Scientist,Divorced,63060,3.0,12,8,1,32.0,3,1,0,0,0
630,41,Non-Travel,Sales,6,3,Life Sciences,Female,Research Director,Single,27730,1.0,11,8,0,19.0,3,19,11,9,0
631,44,Travel_Rarely,Sales,24,5,Medical,Female,Sales Executive,Single,25660,9.0,11,8,1,10.0,3,5,2,3,0
632,36,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,Research Scientist,Divorced,56600,7.0,12,8,0,9.0,3,1,0,0,1
633,35,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Sales Executive,Single,24960,4.0,17,8,3,9.0,3,3,0,2,0
634,30,Non-Travel,Research & Development,2,4,Other,Male,Research Scientist,Single,20960,7.0,11,8,3,10.0,2,8,1,7,0
635,40,Travel_Rarely,Human Resources,2,3,Medical,Male,Sales Executive,Married,24550,1.0,15,8,1,8.0,2,7,7,5,0
636,59,Travel_Rarely,Research & Development,3,4,Technical Degree,Male,Research Scientist,Single,40510,5.0,16,8,3,13.0,3,6,0,5,0
637,44,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,Laboratory Technician,Married,62720,1.0,19,8,1,10.0,3,10,0,5,1
638,36,Travel_Rarely,Research & Development,11,3,Life Sciences,Male,Sales Executive,Married,131910,1.0,14,8,1,10.0,2,10,1,7,0
639,32,Non-Travel,Research & Development,7,2,Life Sciences,Female,Research Director,Married,32980,8.0,22,8,0,6.0,4,4,1,2,1
640,31,Travel_Rarely,Sales,10,2,Life Sciences,Female,Research Scientist,Divorced,112440,3.0,12,8,1,10.0,3,7,1,7,0
641,25,Travel_Rarely,Sales,16,4,Life Sciences,Male,Research Scientist,Married,198590,3.0,19,8,0,6.0,3,3,2,2,1
642,33,Travel_Rarely,Research & Development,2,2,Technical Degree,Male,Laboratory Technician,Single,34790,3.0,12,8,0,5.0,3,3,0,2,0
643,38,Travel_Rarely,Research & Development,19,3,Medical,Female,Manufacturing Director,Married,64740,2.0,13,8,2,20.0,3,4,0,3,0
644,45,Travel_Frequently,Research & Development,8,4,Life Sciences,Female,Manager,Single,29940,4.0,18,8,1,12.0,2,4,0,3,0
645,43,Travel_Rarely,Research & Development,10,5,Technical Degree,Female,Sales Executive,Divorced,26830,4.0,11,8,0,21.0,3,1,0,0,0
646,30,Travel_Rarely,Research & Development,2,1,Medical,Male,Sales Representative,Married,104450,3.0,18,8,1,10.0,3,7,1,7,0
647,30,Travel_Frequently,Research & Development,4,5,Technical Degree,Male,Manager,Divorced,57720,1.0,17,8,0,1.0,3,1,0,0,0
648,22,Travel_Rarely,Human Resources,12,1,Human Resources,Male,Sales Executive,Single,25340,0.0,11,8,0,4.0,1,3,1,2,0
649,37,Travel_Rarely,Research & Development,2,2,Medical,Male,Research Scientist,Married,20220,1.0,12,8,0,10.0,1,10,3,7,0
650,60,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,Manufacturing Director,Married,22690,5.0,18,8,1,33.0,4,29,11,10,0
651,41,Non-Travel,Research & Development,12,3,Life Sciences,Male,Sales Representative,Divorced,195660,6.0,16,8,0,5.0,2,1,0,0,1
652,33,Travel_Rarely,Sales,3,4,Medical,Male,Healthcare Representative,Married,16110,0.0,14,8,0,10.0,2,9,8,1,0
653,44,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,Research Scientist,Divorced,47070,1.0,17,8,0,26.0,4,25,14,13,0
654,34,Travel_Frequently,Sales,28,4,Marketing,Male,Manufacturing Director,Divorced,103250,1.0,11,8,1,9.0,3,9,7,2,0
655,35,Travel_Rarely,Human Resources,3,4,Human Resources,Male,Manager,Married,32940,0.0,11,8,0,6.0,2,5,0,3,0
656,30,Travel_Rarely,Sales,12,4,Life Sciences,Female,Sales Executive,Single,49500,1.0,12,8,2,1.0,3,1,0,0,1
657,46,Travel_Rarely,Sales,19,4,Marketing,Female,Sales Executive,Divorced,41080,2.0,14,8,0,19.0,5,10,0,8,0
658,27,Travel_Rarely,Research & Development,4,3,Technical Degree,Male,Manufacturing Director,Single,51710,0.0,20,8,1,9.0,1,8,0,7,0
659,38,Travel_Rarely,Research & Development,8,2,Technical Degree,Female,Manufacturing Director,Married,25140,3.0,11,8,0,15.0,2,1,1,0,0
660,37,Travel_Rarely,Sales,4,3,Marketing,Male,Human Resources,Divorced,160320,1.0,13,8,0,7.0,2,7,0,7,0
661,34,Travel_Rarely,Research & Development,9,2,Medical,Male,Sales Executive,Married,32800,5.0,13,8,0,7.0,3,5,0,2,0
662,42,Travel_Rarely,Sales,23,3,Marketing,Female,Research Scientist,Married,26420,0.0,13,8,1,21.0,3,20,0,9,0
663,39,Travel_Frequently,Research & Development,12,1,Medical,Male,Research Scientist,Married,99910,1.0,16,8,1,8.0,3,8,0,7,0
664,27,Travel_Frequently,Sales,8,4,Life Sciences,Male,Research Scientist,Single,21070,0.0,13,8,0,6.0,2,5,0,2,0
665,38,Travel_Rarely,Research & Development,2,3,Medical,Female,Sales Executive,Married,49080,4.0,19,8,1,7.0,3,5,1,4,1
666,38,Travel_Rarely,Research & Development,24,2,Other,Female,Laboratory Technician,Single,23260,8.0,14,8,0,19.0,3,1,0,0,0
667,42,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,Sales Executive,Married,34450,1.0,11,8,2,22.0,2,22,11,15,0
668,39,Travel_Rarely,Research & Development,26,1,Medical,Male,Healthcare Representative,Single,34470,0.0,14,8,0,9.0,5,8,1,7,0
669,24,Non-Travel,Sales,1,5,Marketing,Female,Manufacturing Director,Divorced,81890,1.0,14,8,1,1.0,3,1,0,0,0
670,40,Travel_Rarely,Research & Development,22,1,Life Sciences,Male,Laboratory Technician,Married,56660,1.0,14,8,1,18.0,2,18,14,12,0
671,23,Travel_Rarely,Human Resources,6,3,Life Sciences,Female,Laboratory Technician,Single,49690,1.0,12,8,0,5.0,3,5,1,2,1
672,55,Travel_Frequently,Research & Development,23,5,Life Sciences,Male,Laboratory Technician,Married,36970,3.0,13,8,1,23.0,1,3,1,2,0
673,51,Travel_Rarely,Research & Development,4,1,Medical,Female,Manufacturing Director,Single,40280,3.0,14,8,0,29.0,3,5,0,3,0
674,38,Non-Travel,Research & Development,2,5,Life Sciences,Male,Human Resources,Married,83210,3.0,11,8,3,13.0,5,8,7,5,0
675,32,Travel_Rarely,Research & Development,10,1,Medical,Male,Sales Executive,Single,23420,4.0,12,8,2,9.0,2,6,0,4,0
676,32,Travel_Rarely,Research & Development,26,3,Medical,Female,Research Director,Single,88230,6.0,13,8,2,10.0,3,0,0,0,1
677,29,Travel_Rarely,Sales,2,4,Marketing,Female,Research Scientist,Married,106500,1.0,13,8,2,1.0,2,1,0,0,1
678,32,Travel_Rarely,Research & Development,9,1,Medical,Female,Laboratory Technician,Single,27410,1.0,15,8,1,1.0,5,1,0,1,1
679,34,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,Single,23480,1.0,14,8,1,6.0,3,5,1,3,0
680,49,Travel_Rarely,Sales,7,2,Life Sciences,Female,Healthcare Representative,Married,89980,1.0,14,8,2,9.0,2,9,7,7,1
681,44,Non-Travel,Research & Development,5,3,Life Sciences,Male,Laboratory Technician,Single,23190,3.0,18,8,0,7.0,4,5,0,3,0
682,25,Travel_Rarely,Research & Development,25,2,Life Sciences,Male,Sales Executive,Married,37020,0.0,20,8,0,5.0,4,4,1,2,0
683,33,Travel_Rarely,Sales,2,3,Marketing,Female,Sales Executive,Single,59140,3.0,16,8,1,6.0,4,3,0,2,0
684,42,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,Laboratory Technician,Married,66510,0.0,20,8,0,10.0,5,9,4,2,0
685,27,Non-Travel,Research & Development,2,3,Life Sciences,Male,Manufacturing Director,Divorced,139660,1.0,19,8,0,1.0,1,1,0,1,0
686,31,Travel_Rarely,Sales,16,4,Marketing,Female,Research Scientist,Divorced,28040,0.0,19,8,2,3.0,0,2,2,2,0
687,31,Non-Travel,Sales,23,1,Medical,Male,Sales Executive,Divorced,38670,1.0,11,8,1,4.0,4,4,2,3,0
688,51,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,Sales Executive,Single,20730,3.0,14,8,1,23.0,4,13,12,8,0
689,40,Non-Travel,Research & Development,1,4,Technical Degree,Female,Laboratory Technician,Divorced,30680,3.0,19,8,0,20.0,3,1,0,1,0
